doc_id,annotator,model,model_reported,attempts,input_tokens,output_tokens,latency_s,called_at_utc,prompt_fingerprint
GT-034,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10067,1059,2.02,2026-09-18T03:18:32.806575+00:00,53c7ce151f935769
GT-075,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9957,1389,2.37,2026-09-18T03:25:06.890284+00:00,53c7ce151f935769
GT-024,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10102,1208,2.33,2026-09-18T23:48:21.777865+00:00,53c7ce151f935769
GT-066,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10020,2446,3.8,2026-09-18T03:03:19.448059+00:00,53c7ce151f935769
GT-073,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10041,2549,4.53,2026-09-18T03:24:54.735022+00:00,53c7ce151f935769
GT-056,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9784,1156,2.08,2026-09-18T03:02:12.681602+00:00,53c7ce151f935769
GT-014,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9879,1796,2.38,2026-09-18T03:16:28.289978+00:00,53c7ce151f935769
GT-101,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10067,2039,3.01,2026-09-18T03:27:50.636796+00:00,53c7ce151f935769
GT-159,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1997,3.21,2026-09-19T00:04:23.941722+00:00,53c7ce151f935769
GT-065,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9973,1994,2.57,2026-09-18T23:53:08.471572+00:00,53c7ce151f935769
GT-018,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9958,1827,3.26,2026-09-18T23:47:43.892916+00:00,53c7ce151f935769
GT-077,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9992,2220,3.85,2026-09-18T03:04:42.009488+00:00,53c7ce151f935769
GT-050,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10009,1709,2.85,2026-09-18T03:20:27.746318+00:00,53c7ce151f935769
GT-023,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10279,1183,2.28,2026-09-18T23:48:15.943869+00:00,53c7ce151f935769
GT-071,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10038,1887,3.73,2026-09-18T03:03:55.140231+00:00,53c7ce151f935769
GT-068,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10077,2155,3.82,2026-09-18T03:03:33.942387+00:00,53c7ce151f935769
GT-155,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9846,1921,3.5,2026-09-19T00:03:56.413141+00:00,53c7ce151f935769
GT-006,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9954,2393,3.97,2026-09-18T23:46:23.815483+00:00,53c7ce151f935769
GT-026,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9988,1531,2.41,2026-09-18T03:17:41.623642+00:00,53c7ce151f935769
GT-116,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10033,2178,3.33,2026-09-18T03:09:12.725768+00:00,53c7ce151f935769
GT-028,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9970,1779,2.41,2026-09-18T03:17:54.046111+00:00,53c7ce151f935769
GT-015,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10075,1409,2.55,2026-09-18T02:56:35.623729+00:00,53c7ce151f935769
GT-128,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9996,1824,2.51,2026-09-18T03:10:46.512689+00:00,53c7ce151f935769
GT-160,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9900,1640,3.13,2026-09-18T23:45:46.233401+00:00,53c7ce151f935769
GT-094,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9768,1543,2.9,2026-09-18T23:56:20.362796+00:00,53c7ce151f935769
